Wall time,Step,Value
1649208607.54947,0,0.726055383682251
1649209169.351812,1,0.681440532207489
1649209764.607759,2,0.612246036529541
1649210423.488316,3,0.5565977096557617
1649211033.362019,4,0.5360243916511536
1649211669.377477,5,0.48841163516044617
1649212318.093463,6,0.4859851002693176
1649212971.361456,7,0.5016260147094727
1649213628.789237,8,0.46904003620147705
1649214322.612732,9,0.4564104378223419
1649214991.05517,10,0.4343312382698059
1649215663.799694,11,0.4083661735057831
1649216356.364506,12,0.39397045969963074
1649217056.741999,13,0.39100560545921326
1649217782.854899,14,0.3757672607898712
1649218485.510519,15,0.3719470202922821
1649219195.165511,16,0.3605237901210785
1649219887.873982,17,0.3495975136756897
1649220593.593683,18,0.33830657601356506
1649221332.244281,19,0.3389125168323517
1649222074.577509,20,0.2957371771335602
1649222821.941392,21,0.26887577772140503
1649223565.498663,22,0.2576823830604553
1649224289.967442,23,0.25163063406944275
1649225028.25407,24,0.2549693286418915
1649225757.848619,25,0.2141183465719223
1649226491.703806,26,0.22477197647094727
1649227226.932204,27,0.23104380071163177
1649227966.307724,28,0.2003529965877533
1649228699.15443,29,0.19688992202281952
1649229439.405668,30,0.1662522852420807
