Wall time,Step,Value
1649024847.719921,0,0.6845393180847168
1649025428.570776,1,0.6110659241676331
1649026060.131372,2,0.5732282400131226
1649026747.967742,3,0.5548510551452637
1649027425.889395,4,0.5223720073699951
1649028088.635093,5,0.5232009291648865
1649028794.262888,6,0.5160415172576904
1649029479.692954,7,0.5320318341255188
1649030187.521641,8,0.5124430656433105
1649030909.495593,9,0.5029844641685486
1649031635.763725,10,0.4629689157009125
1649032362.571644,11,0.4447929263114929
1649033103.270127,12,0.4430929124355316
1649033839.189916,13,0.4368273615837097
1649034584.297757,14,0.42500635981559753
1649035319.012804,15,0.4180881381034851
1649036074.00748,16,0.41366326808929443
1649036842.443745,17,0.3981611132621765
1649037640.68558,18,0.4049498736858368
1649038422.475514,19,0.3870111405849457
1649039204.313803,20,0.3560270369052887
1649040017.745535,21,0.3350103497505188
1649040821.864825,22,0.30882319808006287
1649041606.290077,23,0.3011741042137146
1649042461.095379,24,0.2818966805934906
1649043278.753897,25,0.2912061810493469
1649044053.357921,26,0.28609606623649597
1649044864.609666,27,0.2678236961364746
1649045673.532269,28,0.2923300266265869
1649046542.349135,29,0.2453291118144989
1649047389.823055,30,0.21463455259799957
