Wall time,Step,Value
1649277257.135405,0,0.5799999833106995
1649277782.508941,1,0.6924999952316284
1649278382.53381,2,0.6631249785423279
1649278950.92915,3,0.703125
1649279550.826728,4,0.7237499952316284
1649280176.96237,5,0.7393749952316284
1649280789.553855,6,0.7518749833106995
1649281416.225969,7,0.7643749713897705
1649282056.925404,8,0.7599999904632568
1649282725.143009,9,0.7574999928474426
1649283410.211606,10,0.7893750071525574
1649284060.901646,11,0.8043749928474426
1649284734.837511,12,0.8100000023841858
1649285385.668454,13,0.8106250166893005
1649286041.887203,14,0.8106250166893005
1649286699.657858,15,0.8206250071525574
1649287374.746238,16,0.8243749737739563
1649288035.937007,17,0.8306249976158142
1649288696.490129,18,0.8343750238418579
1649289346.009038,19,0.8199999928474426
1649290025.77717,20,0.8556249737739563
1649290711.557707,21,0.871874988079071
1649291359.600167,22,0.8612499833106995
1649292034.849226,23,0.8706250190734863
1649292712.544214,24,0.8731250166893005
1649293407.716015,25,0.8706250190734863
1649294067.482486,26,0.8762500286102295
1649294754.003853,27,0.8899999856948853
1649295433.222961,28,0.8868749737739563
1649296102.528051,29,0.8881250023841858
1649296788.795119,30,0.9075000286102295
1649297485.45232,31,0.9237499833106995
1649298215.29406,32,0.9300000071525574
1649298912.633103,33,0.940625011920929
1649299622.322672,34,0.9412500262260437
1649300313.180612,35,0.9293749928474426
1649301041.56991,36,0.9387500286102295
1649301744.362415,37,0.9506250023841858
