Wall time,Step,Value
1649208607.552375,0,0.5068749785423279
1649209169.36468,1,0.5756250023841858
1649209764.669829,2,0.6787499785423279
1649210423.490378,3,0.7118750214576721
1649211033.371738,4,0.7462499737739563
1649211669.404792,5,0.7818750143051147
1649212318.096258,6,0.7743750214576721
1649212971.374889,7,0.7724999785423279
1649213628.799519,8,0.7906249761581421
1649214322.62055,9,0.7981250286102295
1649214991.739083,10,0.8025000095367432
1649215663.826605,11,0.8181250095367432
1649216356.380834,12,0.828125
1649217056.92269,13,0.824999988079071
1649217782.857239,14,0.8412500023841858
1649218485.513143,15,0.8443750143051147
1649219195.7778,16,0.8456249833106995
1649219887.884844,17,0.8500000238418579
1649220593.61568,18,0.8487499952316284
1649221332.665033,19,0.856249988079071
1649222074.930596,20,0.8812500238418579
1649222821.954193,21,0.8912500143051147
1649223565.504194,22,0.8981249928474426
1649224289.976963,23,0.8931249976158142
1649225028.264114,24,0.8987500071525574
1649225757.96639,25,0.918749988079071
1649226491.743525,26,0.9112499952316284
1649227227.063676,27,0.9068750143051147
1649227966.341823,28,0.9237499833106995
1649228699.17898,29,0.9231250286102295
1649229439.441196,30,0.9331250190734863
