Wall time,Step,Value
1649024847.722064,0,0.5531250238418579
1649025428.614468,1,0.6881250143051147
1649026060.168434,2,0.7149999737739563
1649026747.980069,3,0.7287499904632568
1649027425.891706,4,0.746874988079071
1649028088.644426,5,0.7512500286102295
1649028794.392291,6,0.7574999928474426
1649029479.730695,7,0.7368749976158142
1649030187.524572,8,0.7618749737739563
1649030909.521807,9,0.7681249976158142
1649031635.816357,10,0.796875
1649032362.595613,11,0.8031250238418579
1649033103.303698,12,0.7987499833106995
1649033839.213799,13,0.8043749928474426
1649034584.314748,14,0.8174999952316284
1649035319.051579,15,0.809374988079071
1649036074.017705,16,0.8112499713897705
1649036842.459676,17,0.8299999833106995
1649037640.708539,18,0.8299999833106995
1649038422.510196,19,0.8462499976158142
1649039204.328923,20,0.8537499904632568
1649040017.766011,21,0.8618749976158142
1649040821.886211,22,0.8818749785423279
1649041606.303913,23,0.8812500238418579
1649042461.097583,24,0.8931249976158142
1649043278.756386,25,0.887499988079071
1649044053.379658,26,0.8881250023841858
1649044864.646328,27,0.8943750262260437
1649045673.57021,28,0.8843749761581421
1649046542.351349,29,0.9068750143051147
1649047389.825247,30,0.9143750071525574
